cluster,label,n_phrases,n_speeches,members
64,National health standards,5,2,National Standard Setting; National health standards; National standard setting; National standards for care; National standards in healthcare
65,Nursing education funding,3,2,Medical education funding; Nurse education funding; Nursing education funding
87,Medical diagnosis,2,2,Diagnosis of illness; Medical diagnosis
69,Reform of healthcare and social care regulatory bodies,3,2,Reform of healthcare and social care regulatory bodies; Regulatory body reform; Social care legislation reform
109,Funding and expenditure oversight,2,2,Funding and expenditure oversight; Public sector financial oversight
232,NHS Bill discussion,2,2,NHS Bill discussion; Parliamentary debate on NHS legislation
118,Pauper burials,3,2,Pauper burials; Pauper funerals; Workhouse mortuary practices
112,Cost efficiency in social welfare,3,2,Cost efficiency in social welfare; Public resource allocation for social programs; Resource constraints for social services
89,Social care and support for vulnerable populations,2,2,Government support for social care initiatives; Social care and support for vulnerable populations
91,Hospital closures,3,2,Hospital closure; Hospital closures; Hospital resource shortages
256,Child Abuse,4,2,Child Abuse; Child Abuse Detection; Child abuse investigation; Child abuse/neglect
244,Patient safety,3,2,Patient Safety; Patient safety; Patient safety monitoring
76,Medical advice/oversight,2,2,Medical advice/oversight; Medical consultation
78,land and building use for healthcare,2,2,Building construction (healthcare facilities); land and building use for healthcare
81,Medical job availability,3,2,Doctor recruitment and job advertising; Medical Jobs; Medical job availability
79,Medical research,4,2,Illness research; Medical Research; Medical research; medical research
101,Regional health authority structure,3,2,Healthcare district organization; Regional health authority structure; Regional health boards
94,Pandemic preparedness,4,2,Pandemic preparedness; Pandemic vaccine preparedness; government response to pandemic; pandemic preparedness
45,Alcohol abuse impact,9,2,Alcohol Abuse; Alcohol abuse and domestic violence; Alcohol abuse impact; Alcohol's effect on family life and mental health; Alcohol-related emergency hospital admissions; Impact of alcohol on NHS resources; NHS burden from alcohol abuse; Substance abuse (alcohol); alcohol-related health impacts
46,NHS Litigation,3,2,NHS Litigation; NHS conduct investigations; NHS litigation
290,Mental Health Funding,3,2,Mental Health Funding; Mental health care funding; mental health institutions funding
281,Lunatic Asylums,2,2,Lunatic Asylums; lunatic asylums
299,Meals on wheels,2,2,Access to food services; Meals on wheels
291,scientific advice in public health,2,2,scientific advice in health emergencies; scientific advice in public health
315,physical well-being,2,2,Physical well-being and basic living standards; physical well-being
316,Asylum funding/charges,5,2,Access to asylums for non-paupers; Asylum funding; Asylum funding/charges; asylum care; funding and fees for asylum care
47,Housing infrastructure maintenance,2,2,Housing infrastructure maintenance; Maintenance and oversight of public facilities
329,Financial support for the sick,2,2,Financial support for the sick; Support for sick and injured individuals
61,Social worker training,7,2,Care worker training; Care worker training standards; Social Worker Training; Social worker training; Social worker training and support; care worker training; social work training and resourcing
62,Sanatorium care,3,2,Nursing in tuberculosis sanatoria; Sanatorium care; access to sanatoria care
228,National Insurance contributions,2,2,National Insurance as a tax affecting health financing; National Insurance contributions
227,mental health treatment,3,2,Mental health treatment; mental health treatment; mental health treatment oversight
210,slum clearance for public health,2,2,Slum clearance; slum clearance for public health
226,Healthcare funding and cost barriers,2,2,Healthcare funding and cost barriers; Patient cost barriers
231,Specialty Training,3,2,Postgraduate medical training; Specialty Training; Specialty training programmes
230,Medical aid,3,2,Medical Relief; Medical aid; Medical aid provision
145,Impact of Covid-19,5,2,Covid-19 and international health crisis; Covid-19 impact; Impact of Covid-19; impact of pandemic on global health and economies; impact of pandemic on vulnerable populations
146,Protection of vulnerable patients,2,2,Protection of vulnerable patients; patients in care
147,Capitation payment system,4,2,Capitation fees and income structure for doctors; Capitation payment system; Capped cost care system; Doctor remuneration (salary vs capitation)
150,HIV/AIDS care and treatment,4,2,HIV/AIDS care; HIV/AIDS care and treatment; HIV/AIDS pandemic; HIV/AIDS prevention
154,Healthcare regulatory agency oversight,2,2,Healthcare Regulation; Healthcare regulatory agency oversight
152,Mental health (suicide prevention),2,2,Mental health (suicide prevention); Suicide prevention
125,Healthcare policy discussion,2,2,Healthcare policy; Healthcare policy discussion
124,Clinical Commissioning Groups,4,2,Clinical Commissioning Groups; Clinical commissioning; Devolved health authority; NHS Commissioning Board
133,Social security budget,5,2,Social Security Budget; Social security; Social security budget; Social security budget allocation; Social security financing
132,Clinical decision-making,3,2,Clinical Decision Making; Clinical decision-making; Clinician decision-making
126,Death rates,3,2,Death rates; Death registration; death rates
128,primary care,5,2,Primary care access; Primary care delivery; Primary care integration; primary care; primary care utilization
204,Equity in employment conditions,2,2,Equity in employment conditions; Labour conditions
193,Sickness benefit,3,2,Sickness benefit; Sickness benefit administration; sickness provision
135,Global public health challenge,3,2,Global health initiatives; Global public health challenge; Global public health crisis
134,mismanagement of care funds,2,2,Administrative irregularities in care funding; mismanagement of care funds
411,Doctor Training,3,2,Doctor Training; Junior doctor training; Medical training and career progression
412,Housing versus welfare,2,2,Housing versus welfare; Regional disparities in welfare provision
424,Mismanagement in public funds,2,2,Mismanagement in public funds; Public fund misappropriation
7,Welsh Board of Health,2,2,Welsh Board of Health; public health in Scotland
157,School funding disparities,2,2,Impact of education funding reforms; School funding disparities
181,Patient-centred services,6,2,Impact of patient feedback on service design; Patient experience of services; Patient-centred care services; Patient-centred services; Service design around patient needs; shaping services around patient needs
174,Dental care access,5,2,Dental and optical treatment funding; Dental care access; Dental care access and provision; Dental treatment; Dental treatment funding
171,Hospital discharge,5,2,Delayed hospital discharge; Hospital discharge; Hospital discharge and delayed transfers of care; Hospital discharge planning; hospital discharge
144,Stigma in mental health,5,2,Mental health stigma; Social Stigma; Stigma in mental health; Stigma in mental health care; Stigma reduction
137,Local taxation for relief,3,2,Local fiscal burden and taxation; Local taxation for relief; Local vs. union-wide taxation for poor rates
186,Trauma support,2,2,Impact of trauma; Trauma support
382,Doctor compensation,3,2,Doctor accountability; Doctor compensation; Doctor compensation and retirement
386,Hospital administration costs,2,2,Administrative costs; Hospital administration costs
404,living conditions and health,3,2,Living conditions impact; institutional living conditions; living conditions and health
16,Social needs prioritization,2,2,Access to social support; Social needs prioritization
12,Health and working conditions,7,2,Health and working conditions; Health of working life; Healthcare for Working Life; Workplace health hazards; Workplace health risks; health impacts of poor working conditions; workplace health risks
10,parish infirmary construction,5,1,Infirmary construction; Parish healthcare infrastructure; Parish infirmaries; infirmary construction and management; parish infirmary construction
14,Nursing and midwifery training bursary abolition,3,1,Abolition of nursing bursaries; Continuing professional development funding cuts; Nursing and midwifery training bursary abolition
17,Children's nurseries in adult institutions,4,1,Children's nurseries in adult institutions; Regulation of nursery use in adult care premises; Separation of children's and adult care facilities; integration of nurseries in adult institutions
21,Impact of relief on wages,3,1,Effect of relief systems on labour migration; Impact of poor laws on wages; Impact of relief on wages
385,Sewage contamination in homes,3,1,Sewage contamination; Sewage contamination in homes; sewage contamination in homes
389,Suicidal ideation,2,1,Suicidal ideation; suicidal ideation
390,Regulation of AI in public services,2,1,AI and public service transformation; Regulation of AI in public services
392,Supportive and palliative care,3,1,Supportive and palliative care; Supportive care; supportive and palliative care
401,Care home patient penalties,2,1,Care home patient penalties; Care home regulations
403,Healthcare supply chain,3,1,Healthcare supply chain; Healthcare supply chain resilience; Medicines supply chain
439,Tobacco retail locations,2,1,Retail access to tobacco; Tobacco retail locations
440,Sugar prices and health,3,1,Cheap sugar and health; Impact of sugar prices on public health; Sugar prices and health
156,handling false allegations in child abuse cases,3,1,False Allegations Handling; False allegations in child abuse cases; handling false allegations in child abuse cases
158,Personalised care,3,1,Personalisation of care; Personalised care; Whole-person care model
160,Pain management,4,1,Pain management; Pain management in healthcare; Pain management integration; pain control
161,Medication Effects,2,1,Medication Effects; Psychiatric medication effects
162,Impact of media on healthcare professionals,2,1,Impact of media on healthcare professionals; Media scrutiny of healthcare professionals
163,Vaccine interactions,2,1,Vaccine interactions; vaccine interactions
166,Increased medical staff remuneration,2,1,Increased medical staff remuneration; Remuneration for medical staff
167,Midwife regulation,4,1,"Midwife regulation; Midwifery supervision; Nurse regulation; Professional regulation of nurses, midwives, and health visitors"
168,superannuation for substitute staff,2,1,Superannuation for medical staff; superannuation for substitute staff
169,Courtroom health hazards,2,1,Court Health Conditions; Courtroom health hazards
170,Tobacco use among young people,4,1,Tobacco control policy; Tobacco use among young people; Youth smoking rates; Youth tobacco use
172,Compensation for work-related injuries,2,1,Compensation for work-related injuries; compensation for injuries
173,vaccine stockpiling,2,1,Vaccine procurement; vaccine stockpiling
176,Breast cancer screening for older women,2,1,Breast cancer screening for older women; breast screening
178,Employer-employee codes of practice,2,1,Codes of practice for care employers and employees; Employer-employee codes of practice
179,investigation of causes,2,1,investigation into outbreak causes; investigation of causes
180,Patient safety and fitness to practise,2,1,Fitness to practice; Patient safety and fitness to practise
183,disposal of surplus healthcare facilities,2,1,Surplus property disposal; disposal of surplus healthcare facilities
185,District and community nursing cuts,3,1,District and community nursing cuts; District nursing cuts; Health visitor and school nurse reductions
187,Multi-agency collaboration,4,1,Multi-Agency Collaboration; Multi-agency collaboration; Multi-agency collaboration in social care; multi-agency collaboration in social care
188,Culturally appropriate mental health treatment,2,1,Culturally appropriate care; Culturally appropriate mental health treatment
190,Care assessments,3,1,Care assessments; Care assessments and bureaucracy; Care assessments and funding
138,Legal liability in healthcare contracts,3,1,Legal liability (healthcare); Legal liability in healthcare contracts; Legal responsibility in healthcare contracts
139,NHS competition,4,1,Healthcare competition; NHS competition; NHS provider competition; healthcare competition
140,Cancer diagnosis delays,2,1,Cancer diagnosis; Cancer diagnosis delays
141,Health visitor roles,4,1,Health visitor public health role; Health visitor role; Health visitor roles; Public health role of health visitors
142,Workplace injury,3,1,Factory worker injuries; Workplace injury; work-related injuries
148,Subsidies for housing,2,1,Building subsidies; Subsidies for housing
153,second opinion requirements for treatment,2,1,Second opinion requirements; second opinion requirements for treatment
120,NHS service planning for TB,2,1,NHS service planning for TB; NHS service planning for infectious diseases
122,Transplantation,3,1,Transplantation; organ and tissue transplantation; transplantation medicine
127,Court jurisdiction (health/welfare),2,1,Court jurisdiction (health/welfare); Legal jurisdiction for care decisions
131,occupational therapy,3,1,Occupational therapy; Occupational therapy and home adaptations; occupational therapy
136,Parental attitudes and perceptions,2,1,Parental attitudes and perceptions; Parental attitudes toward vaccination
191,Housing for people with disabilities,2,1,Accessible housing; Housing for people with disabilities
192,School sanitation,2,1,School health; School sanitation
195,Medical malpractice,2,1,Medical malpractice; Medical negligence claims
196,Hepatitis C infection in haemophiliacs,2,1,Hepatitis C infection in haemophiliacs; hepatitis C infection in haemophilia patients
197,Medication disparities,2,1,Medication disparities; Overmedication of minority patients
201,antiviral treatment and prevention,2,1,Antiviral treatment availability; antiviral treatment and prevention
202,Indoor air quality and ventilation,5,1,Indoor air quality; Indoor air quality and ventilation; Ventilation systems; ventilation and health; ventilation and indoor air quality
203,Non-medical clinicians in care decisions,2,1,Non-medical clinicians in care decisions; role of non-doctor clinicians in mental health care
207,Taxation and its impact on low-income groups,3,1,Taxation and income inequality; Taxation and its impact on low-income groups; Taxation on low-income households
208,Delayed public health and social care funding,2,1,Delayed public health and social care funding; Public health and social care capital funding delays
214,Cross-border healthcare use,2,1,Cross-border healthcare; Cross-border healthcare use
217,Emergency hospital access,2,1,Emergency hospital access; emergency hospital arrangements
219,Judicial wellbeing,2,1,Judicial wellbeing; health impacts on judicial officials
220,Support services for alcoholics,4,1,Community-based support for alcoholism; Long-term care and recovery for alcoholics; Need for 24/7 alcohol advisory services; Support services for alcoholics
221,Medical research (cure/vaccine),2,1,Medical research (cure/vaccine); Scientific research for cure and vaccine
224,role of charities in social care,2,1,Charitable provision in social care; role of charities in social care
225,Children's services and early years support,2,1,Children's centres; Children's services and early years support
229,Specialist nursing care,3,1,Specialist nursing care; Specialist nursing for long-term conditions; specialised nursing
104,Radiology services access,3,1,Diagnostic imaging access; Radiology services; Radiology services access
106,disease transmission,3,1,Disease transmission routes; Pathogen transmission; disease transmission
108,Agency model for health services,2,1,Agency model for health services; Role of external agencies in healthcare
110,friendly societies,2,1,Friendly societies and financial protection; friendly societies
113,Postal service contracts,2,1,Postal service contracts; Shipping services
114,Blood product safety,6,1,Blood Product Safety; Blood product safety; Blood transfusion safety; Heat treatment of blood products; Self-sufficiency in blood products; blood product safety
115,PCT budget collaboration,3,1,PCT budget collaboration; PCT budget pooling; PCT collaboration
116,out-door relief,2,1,Out-door relief for the able-bodied; out-door relief
119,Restraint Techniques,2,1,Restraint Techniques; Use of restraint in psychiatric care
234,Salary cap restrictions for overseas staff,2,1,Salary cap barriers for overseas staff; Salary cap restrictions for overseas staff
239,Medicines regulation and licensing,3,1,Medicines licensing; Medicines regulation; Medicines regulation and licensing
248,X-ray film shortages in hospitals,3,1,Medical imaging shortages; X-ray film shortage; X-ray film shortages in hospitals
254,Need for public inquiry into patient deaths,2,1,Inquest and accountability in healthcare; Need for public inquiry into patient deaths
258,Medical profession independence,3,1,Independence of the medical profession; Medical profession independence; Medical professional independence
261,Coercive treatment and patient autonomy,2,1,Coercion in treatment; Coercive treatment and patient autonomy
265,AI in diagnostics,2,1,AI in diagnostics; AI in health diagnostics
270,vaccination exemption procedures,2,1,vaccination exemption; vaccination exemption procedures
271,at-risk groups identification,3,1,At-risk group identification; at-risk groups; at-risk groups identification
276,SEN provision,2,1,SEN provision; Special educational needs provision
88,Pay beds/private healthcare,5,1,Financial burden of pay beds in hospitals; Pay beds and private fees in public hospitals; Pay beds policy; Pay beds/private healthcare; Private fees for medical practitioners in pay beds
90,Government coordination in health and housing,2,1,Government coordination in health and housing; Ministry of Health's role in housing
92,AI and mental health,3,1,AI and mental health; AI and privacy; AI impact on mental health
97,public health risks from flooding,5,1,Flood-related health risks; Health infrastructure affected by flooding; Housing and flooding; Public health risks from flooding; public health risks from flooding
